day,kpi,label,n,min,max,mean,std,se,ci95_low,ci95_high
0,daily_sessions,Sesiones por dia,30,0.0,9.0,3.7333333333333334,2.1961303480775287,0.4009567102879116,2.9133768607945543,4.5532898058721125
0,daily_unique_patients,Pacientes unicos por dia,30,0.0,9.0,3.7333333333333334,2.1961303480775287,0.4009567102879116,2.9133768607945543,4.5532898058721125
0,daily_treatment_modules,Modulos tratamiento por dia,30,0.0,131.0,55.6,33.340045301253795,6.087031626580275,43.15202032364334,68.04797967635666
0,daily_extra_modules,Modulos extra por dia,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,daily_avg_wait,Espera promedio diaria (mod),30,0.0,5.0,3.8567460317460314,1.1400684509832095,0.20814706923449222,3.431085275161495,4.282406788330568
0,daily_max_wait,Espera maxima diaria (mod),30,0.0,6.0,4.566666666666666,1.330888563259934,0.24298589587436906,4.069760509603582,5.063572823729751
0,daily_peak_chairs,Peak sillas,30,0.0,9.0,3.7333333333333334,2.1961303480775287,0.4009567102879116,2.9133768607945543,4.5532898058721125
0,daily_peak_nurses,Peak enfermeria,30,0.0,4.0,2.2,1.1264836959500921,0.20566684364455212,1.7794113047468911,2.6205886952531094
0,daily_peak_pharmacy,Peak farmacia,30,1.0,9.0,4.2,1.7888543819998317,0.3265986323710904,3.5321057968011202,4.86789420319888
1,daily_sessions,Sesiones por dia,30,1.0,14.0,6.2,3.387604178319173,0.6184890747880547,4.935189842058429,7.464810157941572
1,daily_unique_patients,Pacientes unicos por dia,30,1.0,12.0,4.3,2.4516004624706302,0.4475989584284205,3.38466013001388,5.21533986998612
1,daily_treatment_modules,Modulos tratamiento por dia,30,15.0,190.0,67.3,38.13691306242595,6.962815852634705,53.061041581362026,81.53895841863798
1,daily_extra_modules,Modulos extra por dia,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,daily_avg_wait,Espera promedio diaria (mod),30,0.0,5.0,2.415079365079365,1.8773842539778458,0.342761901669558,1.7141312761651188,3.116027453993611
1,daily_max_wait,Espera maxima diaria (mod),30,0.0,9.0,3.6666666666666665,2.425913739452491,0.44290922588661313,2.7609172997285425,4.5724160336047905
1,daily_peak_chairs,Peak sillas,30,1.0,12.0,4.3,2.4516004624706302,0.4475989584284205,3.38466013001388,5.21533986998612
1,daily_peak_nurses,Peak enfermeria,30,1.0,4.0,2.7666666666666666,0.9714309861845772,0.1773582213975941,2.4039691039085866,3.1293642294247466
1,daily_peak_pharmacy,Peak farmacia,30,0.0,9.0,3.6,2.5134122979149973,0.45888420395964624,2.6615818029025236,4.538418197097476
2,daily_sessions,Sesiones por dia,30,1.0,18.0,6.933333333333334,4.126728129822858,0.753434028465029,5.392560745122349,8.474105921544318
2,daily_unique_patients,Pacientes unicos por dia,30,1.0,10.0,4.933333333333334,2.4059313679168897,0.4392609606724472,4.035044668758179,5.8316219979084885
2,daily_treatment_modules,Modulos tratamiento por dia,30,14.0,181.0,78.83333333333333,40.06983845766025,7.315718132949511,63.872689751451574,93.79397691521508
2,daily_extra_modules,Modulos extra por dia,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,daily_avg_wait,Espera promedio diaria (mod),30,0.0,5.0,2.51234126984127,1.6914415501249187,0.30881356390164105,1.880817531662414,3.143865008020126
2,daily_max_wait,Espera maxima diaria (mod),30,0.0,8.0,3.7333333333333334,2.083321839048751,0.380360788596716,2.955495520653049,4.511171146013617
2,daily_peak_chairs,Peak sillas,30,1.0,10.0,4.933333333333334,2.4059313679168897,0.4392609606724472,4.035044668758179,5.8316219979084885
2,daily_peak_nurses,Peak enfermeria,30,1.0,4.0,2.8,1.0954451150103324,0.2,2.391,3.2089999999999996
2,daily_peak_pharmacy,Peak farmacia,30,0.0,9.0,4.633333333333334,2.4702831519027755,0.45100993524070365,3.711018015766095,5.555648650900572
3,daily_sessions,Sesiones por dia,30,1.0,17.0,7.533333333333333,4.207819759262127,0.7682392666879415,5.962284032956493,9.104382633710173
3,daily_unique_patients,Pacientes unicos por dia,30,1.0,9.0,4.733333333333333,1.9286109586656033,0.3521145755709381,4.013259026290765,5.453407640375902
3,daily_treatment_modules,Modulos tratamiento por dia,30,16.0,137.0,73.5,30.326669724051868,5.536867033957393,62.17710691555713,84.82289308444287
3,daily_extra_modules,Modulos extra por dia,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,daily_avg_wait,Espera promedio diaria (mod),30,0.0,5.0,2.1462962962962964,1.8669251639604718,0.3408523418250604,1.449253257264048,2.8433393353285448
3,daily_max_wait,Espera maxima diaria (mod),30,0.0,6.0,3.1666666666666665,2.1509153357603816,0.39270161622658645,2.363591861483297,3.969741471850036
3,daily_peak_chairs,Peak sillas,30,1.0,9.0,4.733333333333333,1.9286109586656033,0.3521145755709381,4.013259026290765,5.453407640375902
3,daily_peak_nurses,Peak enfermeria,30,1.0,4.0,3.033333333333333,1.0333518722845685,0.1886633767634852,2.6475167278520058,3.4191499388146607
3,daily_peak_pharmacy,Peak farmacia,30,0.0,9.0,3.933333333333333,2.164499358111332,0.3951817080476764,3.125186740375835,4.741479926290832
4,daily_sessions,Sesiones por dia,30,1.0,22.0,7.566666666666666,4.280536006827548,0.7815153763841786,5.968467721961021,9.164865611372312
4,daily_unique_patients,Pacientes unicos por dia,30,1.0,11.0,5.0,2.2590812902288553,0.4124499272987397,4.156539898674078,5.843460101325922
4,daily_treatment_modules,Modulos tratamiento por dia,30,16.0,162.0,77.73333333333333,35.45947986989767,6.473985667381102,64.49403264353899,90.97263402312768
4,daily_extra_modules,Modulos extra por dia,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,daily_avg_wait,Espera promedio diaria (mod),30,0.0,5.0,2.2637289562289564,1.8633052909716539,0.3401914464613007,1.5680374482155965,2.9594204642423163
4,daily_max_wait,Espera maxima diaria (mod),30,0.0,5.0,3.3,2.0197302653640627,0.3687506088052641,2.5459050049932346,4.054094995006765
4,daily_peak_chairs,Peak sillas,30,1.0,11.0,5.0,2.2590812902288553,0.4124499272987397,4.156539898674078,5.843460101325922
4,daily_peak_nurses,Peak enfermeria,30,1.0,4.0,2.966666666666667,1.0980651740387641,0.20047835514395573,2.5566884303972772,3.3766449029360563
4,daily_peak_pharmacy,Peak farmacia,30,0.0,9.0,4.2,2.171921126401773,0.39653673135076006,3.389082384387696,5.010917615612304
5,daily_sessions,Sesiones por dia,29,2.0,14.0,6.275862068965517,3.6045264373338175,0.6693437557488272,4.905046057191919,7.646678080739115
5,daily_unique_patients,Pacientes unicos por dia,29,2.0,7.0,4.172413793103448,1.6705209948063118,0.31020796106242315,3.537107888847606,4.807719697359291
5,daily_treatment_modules,Modulos tratamiento por dia,29,29.0,127.0,66.17241379310344,26.876794246440873,4.99089539670788,55.951060020645706,76.39376756556118
5,daily_extra_modules,Modulos extra por dia,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,daily_avg_wait,Espera promedio diaria (mod),29,0.0,5.0,2.314778325123153,1.9270147176669237,0.3578376496693155,1.5819268186003947,3.047629831645911
