kpi,label,n,min,max,mean,std,se,ci95_low,ci95_high
sessions,Sesiones realizadas,30,10419.0,14336.0,12559.533333333333,779.5902430934066,142.3330539177316,12268.462238071572,12850.604428595094
unique_patients,Pacientes unicos,30,894.0,1007.0,943.8666666666667,25.844005952602643,4.718448345512752,934.2174398000931,953.5158935332403
cumplimiento,Cumplimiento horario regular (%),30,83.27985491071429,98.2147998848258,88.48984828010465,3.6362728955100185,0.663889563371821,87.13219412300928,89.84750243720002
total_extra,Modulos extra totales,30,27.0,1199.0,465.5,226.8090112544184,41.40947056982935,380.817632684699,550.182367315301
days_extra,Dias con extra,30,8.0,79.0,45.5,16.753280687468454,3.05871658158071,39.24492459066745,51.75507540933255
max_wait,Espera maxima (mod),30,37.0,42.0,39.266666666666666,1.4840144374549433,0.27094272768580396,38.7125887885492,39.820744544784134
avg_wait,Espera promedio (mod),30,10.727712187412848,12.635711903967989,11.795566440466953,0.47125505662361217,0.0860390082837089,11.619616668526769,11.971516212407137
util_chairs,Utilizacion sillas total (%),30,43.38344469190794,50.68783068783069,47.03421903662066,1.7315512053467674,0.31613655154789483,46.38771978870522,47.680718284536106
util_chairs_reg,Utilizacion sillas regulares (%),30,50.50142291512002,58.95679012345679,54.72956810745415,1.990401509234225,0.3633959350333041,53.98642342031104,55.47271279459726
util_nurses,Ocupacion enfermeria (%),30,20.68684377982819,24.279761904761905,22.451475943012692,0.8210776895001668,0.14990759066782133,22.144914920096998,22.758036965928387
util_pharm,Ocupacion farmacia (%),30,50.41538515926044,58.19400352733686,54.57304297616102,1.7564615720711838,0.3206845414714578,53.91724308885189,55.22884286347015
postponed_sessions,Sesiones postponadas,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unattended,Pacientes no atendidos,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
