replica,file,start_day,end_day,sessions,unique_patients,cumplimiento,total_extra,days_extra,max_wait,avg_wait,util_chairs,util_chairs_reg,util_nurses,util_pharm,most_loaded_day,postponed_sessions,unattended
1,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-1.xlsx,,,13464,952,84.53654188948306,306.0,44,39,12.010031998616276,48.08148148148148,56.00061728395062,22.942460317460316,55.50146972369194,168,0,0
2,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-2.xlsx,,,11739,922,91.7454638384871,452.0,49,41,11.671362355721167,45.95793650793651,53.47808641975309,21.831349206349206,53.99882422104645,248,0,0
3,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-3.xlsx,,,12446,937,87.61851197171782,214.0,31,38,11.361204316677247,45.95238095238095,53.54506172839506,21.878968253968253,53.28630217519107,198,0,0
4,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-4.xlsx,,,12835,922,87.24581223217764,667.0,48,40,11.845838779956427,47.61455026455027,55.34444444444444,22.767857142857142,54.8559670781893,171,0,0
5,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-5.xlsx,,,13706,982,84.44476871443165,616.0,57,41,12.17550505050505,49.674338624338624,57.76327160493827,23.57142857142857,56.79482657260435,176,0,0
6,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-6.xlsx,,,11664,925,92.72976680384087,651.0,56,38,12.04933501078361,46.01904761904762,53.48796296296297,22.07936507936508,54.56437389770723,233,0,0
7,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-7.xlsx,,,12426,934,85.77176887172058,249.0,26,38,10.891433339514185,45.12936507936508,52.574074074074076,21.400793650793652,52.27278071722517,168,0,0
8,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-8.xlsx,,,12151,927,89.95144432556991,398.0,42,41,11.739532794249776,46.160317460317465,53.730864197530856,22.083333333333332,53.07113462669019,270,0,0
9,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-9.xlsx,,,12601,954,87.5009919847631,434.0,47,38,11.91103803768219,47.096825396825395,54.81234567901234,22.325396825396826,54.60082304526749,311,0,0
10,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-10.xlsx,,,10419,894,98.2147998848258,364.0,37,38,11.879361722580025,43.38344469190794,50.50142291512002,20.68684377982819,50.41538515926044,302,0,0
11,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-11.xlsx,,,11829,1007,93.49057401301886,425.0,46,38,11.803938963804116,46.76190476190476,54.42438271604938,22.365079365079367,54.950029394473844,239,0,0
12,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-12.xlsx,,,12601,942,87.96920879295294,469.0,64,41,12.185733157199472,47.52751322751323,55.30401234567901,22.529761904761905,55.23574368018812,253,0,0
13,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-13.xlsx,,,12516,974,90.68392457654203,691.0,54,40,12.280890187317409,48.37433862433863,56.223456790123464,23.091269841269842,55.58730158730158,220,0,0
14,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-14.xlsx,,,12218,906,86.74087412015061,320.0,20,39,10.864068618310647,44.136772486772486,51.39413580246913,21.28174603174603,51.42386831275721,165,0,0
