replica,input_solution,output_xlsx,log_file,returncode,status,elapsed_seconds
1,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-1.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-1.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-1.txt,0,OK,1638.65
2,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-2.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-2.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-2.txt,0,OK,1536.76
3,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-3.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-3.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-3.txt,0,OK,1447.36
4,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-4.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-4.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-4.txt,0,OK,1668.24
5,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-5.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-5.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-5.txt,0,OK,1708.34
6,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-6.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-6.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-6.txt,0,OK,1631.77
7,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-7.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-7.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-7.txt,0,OK,1345.69
8,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-8.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-8.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-8.txt,0,OK,1521.22
9,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-9.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-9.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-9.txt,0,OK,1922.35
10,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-10.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-10.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-10.txt,0,OK,1780.71
11,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-11.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-11.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-11.txt,0,OK,2010.9
12,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-12.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-12.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-12.txt,0,OK,2100.3
13,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-13.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-13.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-13.txt,0,OK,2686.36
14,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-14.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-14.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-14.txt,0,OK,1392.41
15,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-15.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-15.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-15.txt,0,OK,3393.52
16,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-16.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-16.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-16.txt,0,OK,2251.14
17,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-17.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-17.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-17.txt,0,OK,10728.7
18,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-18.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-18.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-18.txt,0,OK,8393.6
