day,kpi,label,n,min,max,mean,std,se,ci95_low,ci95_high
230,daily_sessions,Sesiones por dia,4,31.0,39.0,35.25,3.8622100754188224,1.9311050377094112,29.105223770008653,41.39477622999134
230,daily_unique_patients,Pacientes unicos por dia,4,31.0,39.0,35.25,3.8622100754188224,1.9311050377094112,29.105223770008653,41.39477622999134
230,daily_treatment_modules,Modulos tratamiento por dia,4,496.0,655.0,569.25,70.0446286306095,35.02231431530475,457.8089958487003,680.6910041512997
230,daily_extra_modules,Modulos extra por dia,4,0.0,27.0,7.5,13.025615788386615,6.512807894193307,-13.223754719323104,28.223754719323104
230,daily_avg_wait,Espera promedio diaria (mod),4,13.387096774193548,18.28205128205128,15.470716041174445,2.1167418794189916,1.0583709397094958,12.102979711018829,18.83845237133006
230,daily_max_wait,Espera maxima diaria (mod),4,25.0,37.0,32.0,5.033222956847166,2.516611478423583,23.992142275656157,40.00785772434384
230,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
230,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
230,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
231,daily_sessions,Sesiones por dia,4,34.0,42.0,39.75,3.8622100754188224,1.9311050377094112,33.60522377000866,45.89477622999134
231,daily_unique_patients,Pacientes unicos por dia,4,34.0,42.0,39.75,3.8622100754188224,1.9311050377094112,33.60522377000866,45.89477622999134
231,daily_treatment_modules,Modulos tratamiento por dia,4,549.0,695.0,640.5,68.49574196011505,34.24787098005753,531.523274541457,749.476725458543
231,daily_extra_modules,Modulos extra por dia,4,0.0,46.0,24.0,23.38090388900024,11.69045194450012,-13.19901808739938,61.19901808739938
231,daily_avg_wait,Espera promedio diaria (mod),4,15.147058823529411,18.585365853658537,17.296201407392225,1.6099213245644055,0.8049606622822028,14.734816580010255,19.857586234774192
231,daily_max_wait,Espera maxima diaria (mod),4,33.0,38.0,36.25,2.362907813126304,1.181453906563152,32.49061366931605,40.00938633068395
231,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
231,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
231,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
232,daily_sessions,Sesiones por dia,4,31.0,37.0,35.5,3.0,1.5,30.727,40.272999999999996
232,daily_unique_patients,Pacientes unicos por dia,4,31.0,37.0,35.5,3.0,1.5,30.727,40.272999999999996
232,daily_treatment_modules,Modulos tratamiento por dia,4,511.0,580.0,558.75,32.71467560591118,16.35733780295559,506.70095111099533,610.7990488890047
232,daily_extra_modules,Modulos extra por dia,4,0.0,11.0,3.75,5.188127472091127,2.5940637360455634,-4.504310808096983,12.004310808096983
232,daily_avg_wait,Espera promedio diaria (mod),4,12.935483870967742,16.054054054054053,14.956843940714908,1.3857592355620536,0.6928796177810268,12.752100996935681,17.161586884494135
232,daily_max_wait,Espera maxima diaria (mod),4,25.0,36.0,31.5,4.654746681256314,2.327373340628157,24.094298030121205,38.9057019698788
232,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
232,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
232,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
233,daily_sessions,Sesiones por dia,4,30.0,41.0,34.0,4.83045891539648,2.41522945769824,26.314739865604203,41.6852601343958
233,daily_unique_patients,Pacientes unicos por dia,4,30.0,41.0,34.0,4.83045891539648,2.41522945769824,26.314739865604203,41.6852601343958
233,daily_treatment_modules,Modulos tratamiento por dia,4,459.0,609.0,520.5,63.448141554080735,31.724070777040367,419.5540067874575,621.4459932125425
233,daily_extra_modules,Modulos extra por dia,4,0.0,7.0,1.75,3.5,1.75,-3.8185000000000002,7.3185
233,daily_avg_wait,Espera promedio diaria (mod),4,12.0,16.926829268292682,13.77858231707317,2.162589701760672,1.081294850880336,10.337902101571942,17.219262532574398
233,daily_max_wait,Espera maxima diaria (mod),4,23.0,35.0,28.25,4.9916597106239795,2.4958298553119898,20.30826940039725,36.19173059960275
233,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
233,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
233,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
234,daily_sessions,Sesiones por dia,4,27.0,39.0,33.5,5.0,2.5,25.545,41.455
234,daily_unique_patients,Pacientes unicos por dia,4,27.0,39.0,33.5,5.0,2.5,25.545,41.455
234,daily_treatment_modules,Modulos tratamiento por dia,4,413.0,616.0,522.75,86.71553109641509,43.357765548207546,384.7855900256036,660.7144099743964
234,daily_extra_modules,Modulos extra por dia,4,0.0,5.0,1.25,2.5,1.25,-2.7275,5.2275
234,daily_avg_wait,Espera promedio diaria (mod),4,11.148148148148149,16.46153846153846,13.942681392681394,2.4068685334934456,1.2034342667467228,10.113353555893323,17.772009229469464
234,daily_max_wait,Espera maxima diaria (mod),4,22.0,34.0,28.75,5.737304826019502,2.868652413009751,19.62194802180297,37.87805197819703
234,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
234,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
234,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
235,daily_sessions,Sesiones por dia,4,35.0,42.0,37.75,3.4034296427770228,1.7017148213885114,32.33514343834176,43.16485656165824
235,daily_unique_patients,Pacientes unicos por dia,4,35.0,42.0,37.75,3.4034296427770228,1.7017148213885114,32.33514343834176,43.16485656165824
235,daily_treatment_modules,Modulos tratamiento por dia,4,520.0,672.0,581.75,72.21437991609889,36.107189958049446,466.8569215534867,696.6430784465133
235,daily_extra_modules,Modulos extra por dia,4,0.0,27.0,7.75,12.971121771072847,6.485560885536423,-12.8870547377769,28.3870547377769
235,daily_avg_wait,Espera promedio diaria (mod),4,13.885714285714286,18.666666666666668,16.050915750915753,2.2087809223888115,1.1043904611944058,12.536745303395154,19.56508619843635
235,daily_max_wait,Espera maxima diaria (mod),4,30.0,38.0,33.5,3.415650255319866,1.707825127659933,28.065700443786092,38.93429955621391
235,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
235,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
235,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
