replica,file,start_day,end_day,sessions,unique_patients,cumplimiento,total_extra,days_extra,max_wait,avg_wait,util_chairs,util_chairs_reg,util_nurses,util_pharm,most_loaded_day,postponed_sessions,unattended
1,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-1.xlsx,,,802,555,86.9077306733167,337.0,13,40,16.52992518703242,70.91836734693877,80.50925925925925,34.09863945578231,82.11136306374401,236,0,0
2,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-2.xlsx,,,743,537,92.7321668909825,125.0,11,38,15.445491251682368,67.09183673469387,77.44708994708994,31.59013605442177,78.38246409674981,231,0,0
3,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-3.xlsx,,,786,540,93.00254452926208,142.0,10,38,16.18066157760814,69.52380952380952,80.17195767195767,33.41836734693878,81.65784832451499,246,0,0
4,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-4.xlsx,,,774,540,88.75968992248062,241.0,12,38,15.992248062015504,69.12131519274377,79.04761904761905,32.90816326530612,78.50844041320232,242,0,0
5,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-5.xlsx,,,42,40,100.0,0.0,0,5,4.119047619047619,3.8471177944862154,4.488304093567252,1.9736842105263157,4.817599554441659,233,0,0
6,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-6.xlsx,,,42,36,100.0,0.0,0,5,4.261904761904762,4.670868347338936,5.449346405228758,2.2058823529411766,5.571117335823218,238,0,0
7,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-7.xlsx,,,42,38,100.0,0.0,0,5,4.380952380952381,4.160401002506266,4.853801169590644,1.9736842105263157,5.123920913394597,236,0,0
8,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-8.xlsx,,,51,42,100.0,0.0,0,5,4.0,4.255952380952381,4.965277777777778,2.276785714285714,5.396825396825397,235,0,0
9,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-9.xlsx,,,40,36,100.0,0.0,0,5,4.325,3.99859943977591,4.665032679738562,2.100840336134454,5.3843759726112665,247,0,0
10,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-10.xlsx,,,65,46,100.0,0.0,0,5,3.8923076923076922,6.259398496240602,7.302631578947369,3.0545112781954886,7.045391255917571,243,0,0
11,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-11.xlsx,,,52,42,100.0,0.0,0,6,4.0576923076923075,4.714285714285714,5.5,2.3214285714285716,5.555555555555555,231,0,0
12,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-12.xlsx,,,47,38,100.0,0.0,0,5,4.0638297872340425,4.58994708994709,5.354938271604938,2.3313492063492065,5.614344503233392,239,0,0
13,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-13.xlsx,,,39,31,100.0,0.0,0,5,3.9743589743589745,4.270833333333333,4.982638888888889,2.1763392857142856,5.125661375661376,235,0,0
14,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-14.xlsx,,,55,37,100.0,0.0,0,5,3.690909090909091,5.106516290726817,5.957602339181286,2.584586466165413,5.653021442495127,241,0,0
15,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-15.xlsx,,,48,42,100.0,0.0,0,5,4.104166666666667,4.873949579831933,5.686274509803922,2.5210084033613445,6.131341425459072,242,0,0
16,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-16.xlsx,,,33,31,100.0,0.0,0,5,4.0606060606060606,2.9621848739495795,3.4558823529411766,1.7331932773109244,4.170557111733583,248,0,0
17,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-17.xlsx,,,68,48,100.0,0.0,0,5,3.838235294117647,6.514550264550264,7.600308641975309,3.373015873015873,7.671957671957672,240,0,0
18,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-18.xlsx,,,50,44,100.0,0.0,0,6,4.14,4.781746031746032,5.578703703703704,2.4801587301587302,6.055261610817166,230,0,0
19,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Modelo INTRAdia V2\resultados_intradia_30_replicas\solution_intradia-19.xlsx,,,63,42,100.0,0.0,0,6,3.8253968253968256,5.795739348370927,6.761695906432749,2.9605263157894735,6.655527708159287,247,0,0
