dia,ocupacion_modulos,farmacia_modulos,farmacia_capacidad,capacidad_ordinaria_K,capacidad_extra_K_ext,capacidad_total,modulos_extra_usados,holgura_yt,n_sesiones,pct_ocupacion,pct_ocupacion_total
1,68.0,45.0,180,720,120,840,0.0,0.0,4,9.4,8.1
2,97.0,0.0,180,720,120,840,0.0,0.0,6,13.5,11.5
3,14.0,13.0,180,720,120,840,0.0,0.0,1,1.9,1.7
4,70.0,23.0,180,720,120,840,0.0,0.0,5,9.7,8.3
5,46.0,37.0,180,720,120,840,0.0,0.0,3,6.4,5.5
6,119.0,5.0,180,720,120,840,0.0,0.0,7,16.5,14.2
7,15.0,29.0,180,720,120,840,0.0,0.0,1,2.1,1.8
8,108.0,26.0,180,720,120,840,0.0,0.0,7,15.0,12.9
9,112.0,20.0,180,720,120,840,0.0,0.0,7,15.6,13.3
10,78.0,13.0,180,720,120,840,0.0,0.0,5,10.8,9.3
11,43.0,11.0,180,720,120,840,0.0,0.0,3,6.0,5.1
12,51.0,13.0,180,720,120,840,0.0,0.0,3,7.1,6.1
13,36.0,22.0,180,720,120,840,0.0,0.0,3,5.0,4.3
14,97.0,20.0,180,720,120,840,0.0,0.0,5,13.5,11.5
15,93.0,22.0,180,720,120,840,0.0,0.0,5,12.9,11.1
16,76.0,13.0,180,720,120,840,0.0,0.0,5,10.6,9.0
17,76.0,14.0,180,720,120,840,0.0,0.0,5,10.6,9.0
18,125.0,47.0,180,720,120,840,0.0,0.0,8,17.4,14.9
19,94.0,51.0,180,720,120,840,0.0,0.0,6,13.1,11.2
20,171.0,13.0,180,720,120,840,0.0,0.0,11,23.8,20.4
21,72.0,60.0,180,720,120,840,0.0,0.0,4,10.0,8.6
22,227.0,46.0,180,720,120,840,0.0,0.0,14,31.5,27.0
23,179.0,29.0,180,720,120,840,0.0,0.0,11,24.9,21.3
24,154.0,40.0,180,720,120,840,0.0,0.0,10,21.4,18.3
25,200.0,37.0,180,720,120,840,0.0,0.0,12,27.8,23.8
26,90.0,39.0,180,720,120,840,0.0,0.0,6,12.5,10.7
27,164.0,48.0,180,720,120,840,0.0,0.0,10,22.8,19.5
28,192.0,54.0,180,720,120,840,0.0,0.0,12,26.7,22.9
29,186.0,33.0,180,720,120,840,0.0,0.0,13,25.8,22.1
30,142.0,24.0,180,720,120,840,0.0,0.0,9,19.7,16.9
31,184.0,75.0,180,720,120,840,0.0,0.0,12,25.6,21.9
32,189.0,0.0,180,720,120,840,0.0,0.0,12,26.2,22.5
33,134.0,37.0,180,720,120,840,0.0,0.0,9,18.6,16.0
34,240.0,103.0,180,720,120,840,0.0,0.0,16,33.3,28.6
35,169.0,56.0,180,720,120,840,0.0,0.0,9,23.5,20.1
36,234.0,0.0,180,720,120,840,0.0,0.0,14,32.5,27.9
37,179.0,101.0,180,720,120,840,0.0,0.0,12,24.9,21.3
38,195.0,39.0,180,720,120,840,0.0,0.0,13,27.1,23.2
39,146.0,39.0,180,720,120,840,0.0,0.0,9,20.3,17.4
40,170.0,43.0,180,720,120,840,0.0,0.0,10,23.6,20.2
41,170.0,35.0,180,720,120,840,0.0,0.0,11,23.6,20.2
42,151.0,68.0,180,720,120,840,0.0,0.0,9,21.0,18.0
43,265.0,81.0,180,720,120,840,0.0,0.0,16,36.8,31.5
44,309.0,50.0,180,720,120,840,0.0,0.0,19,42.9,36.8
45,206.0,48.0,180,720,120,840,0.0,0.0,13,28.6,24.5
46,308.0,70.0,180,720,120,840,0.0,0.0,19,42.8,36.7
47,176.0,56.0,180,720,120,840,0.0,0.0,11,24.4,21.0
48,385.0,96.0,180,720,120,840,0.0,0.0,24,53.5,45.8
49,222.0,91.0,180,720,120,840,0.0,0.0,14,30.8,26.4
50,360.0,76.0,180,720,120,840,0.0,0.0,24,50.0,42.9
51,308.0,0.0,180,720,120,840,0.0,0.0,20,42.8,36.7
52,254.0,69.0,180,720,120,840,0.0,0.0,17,35.3,30.2
53,193.0,99.0,180,720,120,840,0.0,0.0,12,26.8,23.0
54,170.0,57.0,180,720,120,840,0.0,0.0,12,23.6,20.2
55,217.0,68.0,180,720,120,840,0.0,0.0,14,30.1,25.8
56,288.0,57.0,180,720,120,840,0.0,0.0,16,40.0,34.3
57,243.0,64.0,180,720,120,840,0.0,0.0,14,33.8,28.9
58,227.0,58.0,180,720,120,840,0.0,0.0,15,31.5,27.0
59,217.0,68.0,180,720,120,840,0.0,0.0,14,30.1,25.8
60,251.0,64.0,180,720,120,840,0.0,0.0,15,34.9,29.9
61,271.0,112.0,180,720,120,840,0.0,0.0,18,37.6,32.3
62,397.0,37.0,180,720,120,840,0.0,0.0,26,55.1,47.3
63,165.0,114.0,180,720,120,840,0.0,0.0,10,22.9,19.6
64,431.0,121.0,180,720,120,840,0.0,0.0,27,59.9,51.3
65,471.0,69.0,180,720,120,840,0.0,0.0,29,65.4,56.1
66,361.0,115.0,180,720,120,840,0.0,0.0,22,50.1,43.0
67,404.0,61.0,180,720,120,840,0.0,0.0,25,56.1,48.1
68,258.0,107.0,180,720,120,840,0.0,0.0,16,35.8,30.7
69,415.0,95.0,180,720,120,840,0.0,0.0,27,57.6,49.4
70,381.0,88.0,180,720,120,840,0.0,0.0,24,52.9,45.4
71,340.0,80.0,180,720,120,840,0.0,0.0,23,47.2,40.5
72,385.0,18.0,180,720,120,840,0.0,0.0,25,53.5,45.8
73,321.0,85.0,180,720,120,840,0.0,0.0,21,44.6,38.2
74,350.0,96.0,180,720,120,840,0.0,0.0,22,48.6,41.7
75,339.0,103.0,180,720,120,840,0.0,0.0,25,47.1,40.4
76,414.0,116.0,180,720,120,840,0.0,0.0,27,57.5,49.3
77,373.0,80.0,180,720,120,840,0.0,0.0,20,51.8,44.4
78,370.0,93.0,180,720,120,840,0.0,0.0,22,51.4,44.0
79,295.0,76.0,180,720,120,840,0.0,0.0,19,41.0,35.1
80,372.0,95.0,180,720,120,840,0.0,0.0,23,51.7,44.3
81,263.0,137.0,180,720,120,840,0.0,0.0,16,36.5,31.3
82,285.0,94.0,180,720,120,840,0.0,0.0,18,39.6,33.9
83,339.0,0.0,180,720,120,840,0.0,0.0,23,47.1,40.4
84,316.0,169.0,180,720,120,840,0.0,0.0,19,43.9,37.6
85,359.0,141.0,180,720,120,840,0.0,0.0,22,49.9,42.7
86,543.0,98.0,180,720,120,840,0.0,0.0,34,75.4,64.6
87,440.0,51.0,180,720,120,840,0.0,0.0,26,61.1,52.4
88,552.0,126.0,180,720,120,840,0.0,-0.0,34,76.7,65.7
89,430.0,137.0,180,720,120,840,0.0,-0.0,28,59.7,51.2
90,594.0,95.0,180,720,120,840,0.0,0.0,37,82.5,70.7
91,432.0,102.0,180,720,120,840,0.0,0.0,27,60.0,51.4
92,463.0,120.0,180,720,120,840,0.0,0.0,31,64.3,55.1
93,553.0,133.0,180,720,120,840,0.0,0.0,34,76.8,65.8
94,427.0,114.0,180,720,120,840,0.0,0.0,28,59.3,50.8
95,290.0,134.0,180,720,120,840,0.0,0.0,18,40.3,34.5
96,398.0,87.0,180,720,120,840,0.0,0.0,28,55.3,47.4
97,274.0,129.0,180,720,120,840,0.0,0.0,18,38.1,32.6
98,494.0,103.0,180,720,120,840,0.0,0.0,28,68.6,58.8
99,334.0,115.0,180,720,120,840,0.0,0.0,20,46.4,39.8
100,387.0,112.0,180,720,120,840,0.0,0.0,25,53.8,46.1
101,441.0,47.0,180,720,120,840,0.0,0.0,27,61.2,52.5
102,451.0,161.0,180,720,120,840,0.0,-0.0,28,62.6,53.7
103,490.0,179.0,180,720,120,840,0.0,0.0,31,68.1,58.3
104,534.0,79.0,180,720,120,840,0.0,0.0,35,74.2,63.6
105,349.0,150.0,180,720,120,840,0.0,0.0,22,48.5,41.5
106,590.0,157.0,180,720,120,840,0.0,0.0,36,81.9,70.2
107,647.0,130.0,180,720,120,840,0.0,0.0,40,89.9,77.0
108,566.0,97.0,180,720,120,840,0.0,0.0,34,78.6,67.4
109,503.0,122.0,180,720,120,840,0.0,0.0,30,69.9,59.9
110,412.0,138.0,180,720,120,840,0.0,0.0,26,57.2,49.0
111,528.0,129.0,180,720,120,840,0.0,0.0,33,73.3,62.9
112,544.0,112.0,180,720,120,840,0.0,0.0,33,75.6,64.8
113,446.0,145.0,180,720,120,840,0.0,0.0,29,61.9,53.1
114,586.0,99.0,180,720,120,840,0.0,0.0,36,81.4,69.8
115,517.0,101.0,180,720,120,840,0.0,0.0,34,71.8,61.5
116,516.0,162.0,180,720,120,840,0.0,-0.0,33,71.7,61.4
117,516.0,177.0,180,720,120,840,0.0,-0.0,36,71.7,61.4
118,573.0,39.0,180,720,120,840,0.0,0.0,37,79.6,68.2
119,556.0,172.0,180,720,120,840,0.0,0.0,33,77.2,66.2
120,591.0,142.0,180,720,120,840,0.0,0.0,36,82.1,70.4
121,541.0,109.0,180,720,120,840,0.0,0.0,35,75.1,64.4
122,470.0,178.0,180,720,120,840,0.0,0.0,29,65.3,56.0
123,377.0,148.0,180,720,120,840,0.0,0.0,23,52.4,44.9
124,511.0,126.0,180,720,120,840,0.0,0.0,31,71.0,60.8
125,446.0,131.0,180,720,120,840,0.0,0.0,29,61.9,53.1
126,497.0,124.0,180,720,120,840,0.0,0.0,31,69.0,59.2
127,475.0,165.0,180,720,120,840,0.0,0.0,29,66.0,56.5
128,658.0,165.0,180,720,120,840,0.0,0.0,41,91.4,78.3
129,671.0,75.0,180,720,120,840,0.0,0.0,41,93.2,79.9
130,708.0,173.0,180,720,120,840,0.0,-0.0,44,98.3,84.3
131,519.0,180.0,180,720,120,840,0.0,-0.0,34,72.1,61.8
132,716.0,153.0,180,720,120,840,0.0,-0.0,46,99.4,85.2
133,506.0,177.0,180,720,120,840,0.0,0.0,31,70.3,60.2
134,582.0,155.0,180,720,120,840,0.0,0.0,37,80.8,69.3
135,625.0,127.0,180,720,120,840,0.0,0.0,39,86.8,74.4
136,483.0,103.0,180,720,120,840,0.0,0.0,32,67.1,57.5
137,421.0,148.0,180,720,120,840,0.0,0.0,27,58.5,50.1
138,522.0,109.0,180,720,120,840,0.0,0.0,34,72.5,62.1
139,418.0,170.0,180,720,120,840,0.0,0.0,27,58.1,49.8
140,663.0,123.0,180,720,120,840,0.0,0.0,40,92.1,78.9
