dia,ocupacion_modulos,capacidad_ordinaria_K,capacidad_extra_K_ext,capacidad_total,modulos_extra_usados,holgura_yt,n_sesiones,pct_ocupacion,pct_ocupacion_total
1,63.0,720,120,840,0.0,0.0,4,8.8,7.5
2,63.0,720,120,840,0.0,0.0,4,8.8,7.5
3,130.0,720,120,840,0.0,0.0,9,18.1,15.5
4,83.0,720,120,840,0.0,0.0,5,11.5,9.9
5,61.0,720,120,840,0.0,0.0,4,8.5,7.3
6,0.0,720,120,840,0.0,0.0,0,0.0,0.0
7,78.0,720,120,840,0.0,0.0,5,10.8,9.3
8,48.0,720,120,840,0.0,0.0,3,6.7,5.7
9,14.0,720,120,840,0.0,0.0,1,1.9,1.7
10,55.0,720,120,840,0.0,0.0,3,7.6,6.5
11,45.0,720,120,840,0.0,0.0,3,6.2,5.4
12,32.0,720,120,840,0.0,0.0,2,4.4,3.8
13,31.0,720,120,840,0.0,0.0,2,4.3,3.7
14,14.0,720,120,840,0.0,0.0,1,1.9,1.7
15,132.0,720,120,840,0.0,0.0,9,18.3,15.7
16,151.0,720,120,840,0.0,0.0,9,21.0,18.0
17,108.0,720,120,840,0.0,0.0,6,15.0,12.9
18,48.0,720,120,840,0.0,0.0,3,6.7,5.7
19,108.0,720,120,840,0.0,0.0,7,15.0,12.9
20,74.0,720,120,840,0.0,0.0,5,10.3,8.8
21,121.0,720,120,840,0.0,0.0,7,16.8,14.4
22,93.0,720,120,840,0.0,0.0,6,12.9,11.1
23,53.0,720,120,840,0.0,0.0,4,7.4,6.3
24,154.0,720,120,840,0.0,0.0,11,21.4,18.3
25,73.0,720,120,840,0.0,0.0,5,10.1,8.7
26,175.0,720,120,840,0.0,0.0,11,24.3,20.8
27,30.0,720,120,840,0.0,0.0,2,4.2,3.6
28,50.0,720,120,840,0.0,0.0,3,6.9,6.0
29,163.0,720,120,840,0.0,0.0,10,22.6,19.4
30,140.0,720,120,840,0.0,0.0,9,19.4,16.7
31,152.0,720,120,840,0.0,0.0,10,21.1,18.1
32,138.0,720,120,840,0.0,0.0,9,19.2,16.4
33,111.0,720,120,840,0.0,0.0,7,15.4,13.2
34,152.0,720,120,840,0.0,0.0,10,21.1,18.1
35,231.0,720,120,840,0.0,0.0,15,32.1,27.5
36,201.0,720,120,840,0.0,0.0,14,27.9,23.9
37,80.0,720,120,840,0.0,0.0,5,11.1,9.5
38,180.0,720,120,840,0.0,0.0,10,25.0,21.4
39,67.0,720,120,840,0.0,0.0,4,9.3,8.0
40,247.0,720,120,840,0.0,0.0,16,34.3,29.4
41,138.0,720,120,840,0.0,0.0,9,19.2,16.4
42,70.0,720,120,840,0.0,0.0,4,9.7,8.3
43,186.0,720,120,840,0.0,0.0,12,25.8,22.1
44,294.0,720,120,840,0.0,0.0,19,40.8,35.0
45,266.0,720,120,840,0.0,0.0,18,36.9,31.7
46,244.0,720,120,840,0.0,0.0,16,33.9,29.0
47,295.0,720,120,840,0.0,0.0,19,41.0,35.1
48,199.0,720,120,840,0.0,0.0,13,27.6,23.7
49,205.0,720,120,840,0.0,0.0,13,28.5,24.4
50,277.0,720,120,840,0.0,0.0,17,38.5,33.0
51,68.0,720,120,840,0.0,0.0,5,9.4,8.1
52,274.0,720,120,840,0.0,0.0,17,38.1,32.6
53,162.0,720,120,840,0.0,0.0,11,22.5,19.3
54,257.0,720,120,840,0.0,0.0,17,35.7,30.6
55,244.0,720,120,840,0.0,0.0,16,33.9,29.0
56,206.0,720,120,840,0.0,0.0,14,28.6,24.5
57,345.0,720,120,840,0.0,0.0,23,47.9,41.1
58,284.0,720,120,840,0.0,0.0,18,39.4,33.8
59,373.0,720,120,840,0.0,0.0,22,51.8,44.4
60,261.0,720,120,840,0.0,0.0,16,36.2,31.1
61,270.0,720,120,840,0.0,0.0,17,37.5,32.1
62,286.0,720,120,840,0.0,0.0,19,39.7,34.0
63,270.0,720,120,840,0.0,0.0,17,37.5,32.1
64,342.0,720,120,840,0.0,0.0,22,47.5,40.7
65,291.0,720,120,840,0.0,0.0,19,40.4,34.6
66,369.0,720,120,840,0.0,0.0,25,51.2,43.9
67,247.0,720,120,840,0.0,0.0,17,34.3,29.4
68,459.0,720,120,840,0.0,0.0,30,63.8,54.6
69,280.0,720,120,840,0.0,0.0,18,38.9,33.3
70,296.0,720,120,840,0.0,0.0,19,41.1,35.2
71,266.0,720,120,840,0.0,0.0,16,36.9,31.7
72,387.0,720,120,840,0.0,0.0,23,53.8,46.1
73,321.0,720,120,840,0.0,0.0,20,44.6,38.2
74,341.0,720,120,840,0.0,0.0,22,47.4,40.6
75,277.0,720,120,840,0.0,0.0,17,38.5,33.0
76,410.0,720,120,840,0.0,0.0,26,56.9,48.8
77,349.0,720,120,840,0.0,0.0,23,48.5,41.5
78,480.0,720,120,840,0.0,0.0,32,66.7,57.1
79,251.0,720,120,840,0.0,0.0,15,34.9,29.9
80,445.0,720,120,840,0.0,0.0,27,61.8,53.0
81,243.0,720,120,840,0.0,0.0,15,33.8,28.9
82,470.0,720,120,840,0.0,0.0,30,65.3,56.0
83,298.0,720,120,840,0.0,0.0,19,41.4,35.5
84,427.0,720,120,840,0.0,0.0,27,59.3,50.8
85,332.0,720,120,840,0.0,0.0,21,46.1,39.5
86,489.0,720,120,840,0.0,0.0,31,67.9,58.2
87,396.0,720,120,840,0.0,0.0,26,55.0,47.1
88,479.0,720,120,840,0.0,0.0,32,66.5,57.0
89,467.0,720,120,840,0.0,0.0,30,64.9,55.6
90,451.0,720,120,840,0.0,0.0,29,62.6,53.7
91,359.0,720,120,840,0.0,0.0,23,49.9,42.7
92,432.0,720,120,840,0.0,0.0,27,60.0,51.4
93,255.0,720,120,840,0.0,0.0,15,35.4,30.4
94,374.0,720,120,840,0.0,0.0,23,51.9,44.5
95,279.0,720,120,840,0.0,0.0,18,38.8,33.2
96,441.0,720,120,840,0.0,0.0,28,61.2,52.5
97,360.0,720,120,840,0.0,0.0,23,50.0,42.9
98,412.0,720,120,840,0.0,0.0,27,57.2,49.0
99,451.0,720,120,840,0.0,0.0,29,62.6,53.7
100,469.0,720,120,840,0.0,0.0,28,65.1,55.8
101,560.0,720,120,840,0.0,0.0,34,77.8,66.7
102,430.0,720,120,840,0.0,0.0,27,59.7,51.2
103,389.0,720,120,840,0.0,0.0,24,54.0,46.3
104,458.0,720,120,840,0.0,0.0,29,63.6,54.5
105,521.0,720,120,840,0.0,0.0,33,72.4,62.0
106,436.0,720,120,840,0.0,0.0,28,60.6,51.9
107,455.0,720,120,840,0.0,0.0,28,63.2,54.2
108,515.0,720,120,840,0.0,0.0,34,71.5,61.3
109,515.0,720,120,840,0.0,0.0,34,71.5,61.3
110,599.0,720,120,840,0.0,0.0,39,83.2,71.3
111,395.0,720,120,840,0.0,0.0,26,54.9,47.0
112,475.0,720,120,840,0.0,0.0,31,66.0,56.5
113,515.0,720,120,840,0.0,0.0,32,71.5,61.3
114,444.0,720,120,840,0.0,0.0,27,61.7,52.9
115,521.0,720,120,840,0.0,0.0,32,72.4,62.0
116,409.0,720,120,840,0.0,0.0,26,56.8,48.7
117,406.0,720,120,840,0.0,0.0,25,56.4,48.3
118,514.0,720,120,840,0.0,0.0,32,71.4,61.2
119,460.0,720,120,840,0.0,0.0,30,63.9,54.8
120,544.0,720,120,840,0.0,0.0,35,75.6,64.8
121,429.0,720,120,840,0.0,0.0,26,59.6,51.1
122,624.0,720,120,840,0.0,0.0,39,86.7,74.3
